
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                  12504 Services                   0     27,544 K Unknown         N/A                                                     0:01:11 N/A                                                                     
svchost.exe                  14460 Services                   0      2,920 K Unknown         N/A                                                     0:00:12 N/A                                                                     
svchost.exe                  17228 Services                   0     12,744 K Unknown         N/A                                                     0:10:38 N/A                                                                     
SecurityHealthService.exe    17656 Services                   0      3,672 K Unknown         N/A                                                     0:00:25 N/A                                                                     
dasHost.exe                  16440 Services                   0        296 K Unknown         N/A                                                     0:00:12 N/A                                                                     
svchost.exe                   7448 Services                   0      2,296 K Unknown         N/A                                                     0:00:10 N/A                                                                     
dasHost.exe                  14004 Services                   0         16 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  13716 Services                   0     14,760 K Unknown         N/A                                                     0:07:43 N/A                                                                     
svchost.exe                  16784 Services                   0      4,380 K Unknown         N/A                                                     0:02:28 N/A                                                                     
svchost.exe                  21108 Services                   0      2,676 K Unknown         N/A                                                     0:00:12 N/A                                                                     
svchost.exe                  20008 Services                   0     13,712 K Unknown         N/A                                                     0:06:39 N/A                                                                     
svchost.exe                  21224 Services                   0      2,912 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                  17180 Services                   0      1,052 K Unknown         N/A                                                     0:00:01 N/A                                                                     
NisSrv.exe                   17608 Services                   0      5,360 K Unknown         N/A                                                     0:01:14 N/A                                                                     
svchost.exe                  16496 Services                   0      1,140 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  13116 Services                   0      2,356 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                  12840 Services                   0      2,608 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                  17028 Services                   0      1,200 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   7512 Services                   0        912 K Unknown         N/A                                                     0:00:01 N/A                                                                     
TouchpointGpuInfo.exe         5992 Services                   0      3,688 K Unknown         N/A                                                     0:00:30 N/A                                                                     
McCHSvc.exe                  17588 Services                   0         16 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  34768 Services                   0        776 K Unknown         N/A                                                     0:00:03 N/A                                                                     
mongod.exe                   31336 Services                   0     46,756 K Unknown         N/A                                                     0:51:39 N/A                                                                     
svchost.exe                  34044 Services                   0      1,784 K Unknown         N/A                                                     0:00:02 N/A                                                                     
